file_path,tempo,danceability,energy,acousticness,key,mode,key_confidence,valence,loudness,instrumentalness,speechiness,liveness
downloads/Blondie - Heart Of Glass.mp3,112.34714673913044,1.0,0.756262567639351,0.5469593405723572,4,1,0.6807773137102741,0.7045620086671175,0.0,0.0,0.4227087404212671,0.968902685546875
downloads/The Offspring - Self Esteem.mp3,107.666015625,1.0,0.6902631051838398,0.4262307286262512,0,1,0.7798791510905798,0.727495980411768,0.0,0.0,0.6736000320246568,0.9889931640625
downloads/Red Hot Chili Peppers - Charlie.mp3,151.99908088235293,1.0,0.7225684195756912,0.4454168975353241,2,0,0.6103720694037629,0.6617900335519669,0.0,0.0,0.6016221720045081,0.97284326171875
downloads/Three Days Grace - Pain.mp3,161.4990234375,1.0,0.8198886275291444,0.4987358450889587,4,0,0.8146676615008462,0.7097691474757367,0.0,0.0,0.5898336886922526,0.98963916015625
downloads/AC DC - Shoot to Thrill.mp3,135.99917763157896,1.0,0.613767123222351,0.5241535305976868,9,1,0.7914401988910446,0.7222601332598486,0.0,0.0,0.5802319400612665,0.9812412109375
downloads/Pink Floyd - Goodbye Blue Sky.mp3,112.34714673913044,1.0,0.4592855677008629,0.6487250924110413,2,1,0.6574002315298108,0.5600848948406094,-19.42876053408414,0.0,0.5147091685876162,0.806638732910157
downloads/Korn - Falling Away From Me.mp3,117.45383522727272,1.0,0.8264640927314759,0.5314418077468872,4,1,0.6447509991551147,0.7386943705621969,0.0,0.0,0.443627922518739,0.9657373046875
downloads/The Cure - A Forest.mp3,215.33203125,1.0,0.318868413567543,0.782841145992279,9,0,0.8915055207505004,0.4741230571621265,-18.85571816883497,0.0789015531539917,0.1957437559519,0.3944867253303528
downloads/Radiohead - High and Dry.mp3,172.265625,1.0,0.5946607649326324,0.6713839769363403,4,1,0.7982232703768647,0.7506043884466557,-4.1091439889207635,0.0,0.3658231342509035,0.96638330078125
downloads/Coldplay - Violet Hill.mp3,75.99954044117646,1.0,0.9343702793121338,0.6224843263626099,1,0,0.9578170439159188,0.5331471831087807,0.0,0.0,0.311565336371133,0.8572099609375001
downloads/Creedence Clearwater Revival - Who'll Stop the Rain.mp3,123.046875,1.0,0.6237910121679305,0.5888786315917969,7,1,0.9238859757193452,0.6798631884280543,0.0,0.0,0.4934971512086502,0.8656079101562499
downloads/Dio - Holy Diver.mp3,129.19921875,1.0,0.562339073419571,0.793496310710907,0,0,0.6655088988079,0.3836144931764667,-13.274316533136796,0.2701873421669006,0.0204258407914859,0.7886697753906251
downloads/Rise Against - Swing Life Away.mp3,92.28515625,1.0,0.7513191819190979,0.5332509279251099,6,1,0.7942652506816723,0.6792150537539408,0.0,0.0,0.5272215273125105,0.98447119140625
downloads/The Rolling Stones - Paint It Black.mp3,161.4990234375,1.0,0.5029232919216156,0.5631040334701538,5,0,0.4018593048917789,0.6138938048526135,0.0,0.0,0.5329590324343136,0.912765625
downloads/Arctic Monkeys - Fake Tales Of San Francisco.mp3,129.19921875,1.0,0.812715046107769,0.4653570652008056,11,0,0.6731471805505783,0.6488534699995776,0.0,0.0,0.598443773983049,0.9683212890625
downloads/Stone Temple Pilots - Plush.mp3,143.5546875,1.0,0.8110378742218018,0.4726645052433014,7,0,0.8728839359298471,0.6783825528196048,0.0,0.0,0.511603482818186,0.946357421875
downloads/System Of A Down - Shimmy.mp3,117.45383522727272,1.0,0.8341875791549683,0.4819105565547943,3,0,0.3797363161322009,0.6284175242151492,0.0,0.0,0.5943284008612254,0.9256209472656252
downloads/The All-American Rejects - Move Along.mp3,143.5546875,1.0,0.8121001191437245,0.561901867389679,3,1,0.540886595423062,0.7644886484321115,0.0,0.0,0.4559814393690349,0.9146390136718752
downloads/Pink Floyd - Mother.mp3,135.99917763157896,1.0,0.3233547568321228,0.6106038093566895,7,1,0.9183577469435852,0.6409972776834773,-16.612571547815165,0.0,0.3805624056739377,0.7483514904975891
downloads/Red Hot Chili Peppers - By the Way.mp3,123.046875,1.0,0.8160559207201005,0.5435462594032288,9,0,0.8013323027858624,0.6150810615979162,0.0,0.0,0.5509415178451554,0.91341162109375
downloads/The Wallflowers - One Headlight.mp3,107.666015625,1.0,0.586788010597229,0.5990987420082092,2,1,0.7212846554723268,0.6345367437892439,-1.6598898070000296,0.0,0.323701570084988,0.9437088378906252
downloads/The Kooks - Naïve.mp3,103.359375,1.0,0.63497593998909,0.4774637818336487,6,1,0.9358350106187344,0.6801754658702585,0.0,0.0,0.7032802902288782,1.0
downloads/Sum 41 - Still Waiting.mp3,95.703125,1.0,0.8165820091962814,0.4496145248413086,4,0,0.736091742490567,0.5988379743242019,0.0,0.0,0.5944945798656192,0.96638330078125
downloads/Arctic Monkeys - 505.mp3,151.99908088235293,1.0,0.4748139649629593,0.7359133362770081,2,0,0.5685787179594548,0.5378776192673097,-4.800133829274613,0.1832984924316406,0.3438157498304499,0.631081639289856
downloads/Arcade Fire - Haiti.mp3,99.38401442307692,1.0,0.8622198939323424,0.6211305260658264,7,1,0.829628334089407,0.6743868633393947,0.0,0.0,0.3943402362235224,0.8880885742187501
downloads/Radiohead - Weird Fishes Arpeggi.mp3,75.99954044117646,1.0,0.930570340156555,0.5668624639511108,9,1,0.8193042558681437,0.6865136552173556,0.0,0.0,0.450524420395631,1.0
downloads/The Velvet Underground - Heroin.mp3,151.99908088235293,1.0,0.5578847289085389,0.6905403137207031,0,1,0.908901518119719,0.6659449999413365,-6.045634975519967,0.0,0.1551292296859855,0.73640869140625
downloads/The Killers - Sam's Town.mp3,143.5546875,1.0,0.8680041134357452,0.5179436802864075,6,0,0.7080545284599873,0.6680092464529251,0.0,0.0,0.4089331626976424,0.941189453125
downloads/The Rolling Stones - You Can't Always Get What You Want.mp3,184.5703125,1.0,0.6414896368980408,0.5423469543457031,0,1,0.931475016072356,0.7928999121365361,0.0,0.0,0.5139450358221268,0.94894140625
downloads/TOOL - Vicarious.mp3,112.34714673913044,1.0,0.5454629354178906,0.6890154480934143,2,0,0.6612136353023447,0.5051815117622032,-1.775350994560771,0.0,0.4212703817556989,0.5642253732681275
downloads/Seal - Kiss from a Rose.mp3,129.19921875,1.0,0.5002831727266311,0.5900552868843079,8,1,0.8022312707630394,0.6814040279711071,-3.2202363823184226,0.0,0.4302185523435837,0.9579853515625
downloads/Incubus - Wish You Were Here.mp3,112.34714673913044,1.0,0.8140447467565537,0.6170423626899719,4,1,0.6682131858876711,0.6980585627582583,0.0,0.0,0.3962905477335605,0.874005859375
downloads/U2 - New Year's Day.mp3,135.99917763157896,1.0,0.8053789403289557,0.5699954628944397,8,0,0.579305013499171,0.6384181687458365,0.0,0.0,0.5467319168029201,0.910117041015625
downloads/Pink Floyd - Have a Cigar.mp3,117.45383522727272,1.0,0.5242481619119644,0.6064283847808838,4,0,0.8353908544484046,0.5076544958097483,-1.5410718305168845,0.0,0.4159948092775504,0.8507499999999999
downloads/The Red Jumpsuit Apparatus - Face Down.mp3,92.28515625,1.0,0.8448796838521958,0.4482742547988891,10,1,0.8828980610621456,0.7307210641879696,0.0,0.0,0.6995366130075888,0.974716650390625
downloads/Survivor - Eye of the Tiger.mp3,143.5546875,1.0,0.5064427614212036,0.5250687003135681,0,0,0.6892691152734743,0.5816556726160552,-0.1581198485272549,0.0,0.5366615031112926,0.9760086425781253
downloads/The Black Keys - Tighten Up.mp3,107.666015625,1.0,0.8508443593978883,0.5791852474212646,6,0,0.8710764375606274,0.5880990027122411,0.0,0.0,0.5083066243076027,0.9320809082031252
downloads/Coldplay - Shiver.mp3,78.30255681818181,1.0,0.815344050526619,0.5323812961578369,11,1,0.8384502169322564,0.6710742769149329,0.0,0.0,0.4757548496444541,0.9450654296875
downloads/Red Hot Chili Peppers - Otherside.mp3,123.046875,1.0,0.8144005998969078,0.5448393821716309,9,0,0.7230903685078055,0.6231724523534806,0.0,0.0,0.5963757189936156,0.90824365234375
downloads/Interpol - The Heinrich Maneuver.mp3,135.99917763157896,1.0,0.8099429316818715,0.4744000136852264,4,0,0.5717287486230409,0.6499527078813527,0.0,0.0,0.6059286982260327,0.96509130859375
downloads/Muse - Unintended.mp3,135.99917763157896,1.0,0.7075364649295806,0.6957368850708008,4,1,0.8187805911512739,0.6939620060130671,0.0,0.0,0.3281802342093265,0.9148974121093758
downloads/The Doors - Break on Through (To the Other Side).mp3,184.5703125,1.0,0.622823679447174,0.5422754287719727,4,1,0.4537384529764693,0.7906942587369958,0.0,0.0,0.4524607036972575,0.88240380859375
downloads/Eric Clapton - Layla.mp3,112.34714673913044,1.0,0.6422433473169804,0.5714418292045593,0,1,0.8786667979053453,0.6721570326873297,0.0,0.0,0.437792903926355,0.884341796875
downloads/Jimi Hendrix - Little wing.mp3,143.5546875,1.0,0.6219150304794312,0.5988162755966187,6,1,0.6558196909256372,0.7112268993474611,0.0,0.0,0.460874919834477,0.88886376953125
downloads/Muse - Invincible.mp3,92.28515625,1.0,0.8278740793466568,0.5893800258636475,0,1,0.9122373618219032,0.6667604583607062,0.0,0.0,0.2952711262292466,0.8991997070312501
downloads/Maroon 5 - She Will Be Loved.mp3,103.359375,1.0,0.7654862791299819,0.5914387702941895,10,1,0.7124255052707701,0.6763701474891979,0.0,0.0,0.3739753523167329,0.9831145996093752
downloads/Green Day - Welcome to Paradise.mp3,89.10290948275862,1.0,0.8092050775885582,0.5206718444824219,3,0,0.7744210537319194,0.5637867033545215,0.0,0.0,0.4411126909589284,0.899845703125
downloads/Radiohead - Karma Police.mp3,73.828125,1.0,0.528128269314766,0.6950604319572449,6,0,0.6188649582977783,0.4354443340398248,-2.98598682794204,0.0,0.3231712013501426,0.86689990234375
downloads/Lenny Kravitz - Fly Away.mp3,107.666015625,1.0,0.7453333139419556,0.5116533637046814,2,1,0.6287428147700098,0.7048784840496948,0.0,0.0,0.6161689289092673,0.9482308105468752
downloads/Vanessa Carlton - A Thousand Miles.mp3,95.703125,1.0,0.7086793035268784,0.5918601155281067,11,1,0.7044235400867357,0.6532931983600876,0.0,0.0,0.4524452043857715,0.9681920898437502
downloads/Queen - The Show Must Go On.mp3,161.4990234375,1.0,0.3833277076482773,0.621139407157898,11,0,0.8575438878796532,0.5785400032379974,-5.182474106246435,0.0,0.4563953059381367,0.7661107816696167
downloads/Sinéad O'Connor - Nothing Compares 2 U.mp3,117.45383522727272,1.0,0.5065256118774414,0.6170800924301147,5,1,0.8303796431924402,0.6428027125986661,-2.5111597341785306,0.0,0.3655211168590073,0.8882177734375001
downloads/Radiohead - I Might Be Wrong.mp3,103.359375,1.0,0.7518542289733887,0.7803663611412048,2,0,0.8315141859943408,0.4888906092720242,0.0,0.0,0.2874073574578002,0.70023291015625
downloads/Phoenix - Lisztomania.mp3,99.38401442307692,1.0,0.8364676624536515,0.5860209465026855,0,1,0.5884151307586407,0.6852116342150498,0.0,0.0,0.405967639431112,0.94183544921875
downloads/Weezer - Island In The Sun.mp3,112.34714673913044,1.0,0.7476721286773681,0.591413140296936,2,1,0.7854815731508754,0.6827300483660215,0.0,0.0,0.4310757448573959,0.915349609375
downloads/Incubus - Anna Molly.mp3,75.99954044117646,1.0,0.732899311184883,0.4832763075828552,0,0,0.92725926787266,0.552531066456118,0.0,0.0,0.6528069707493046,0.9262669433593752
downloads/Fleet Foxes - Blue Ridge Mountains.mp3,99.38401442307692,1.0,0.8522835612297057,0.6645066738128662,8,0,0.7972379564564219,0.5453574081128684,0.0,0.0,0.3115036884437557,0.8404140625000001
downloads/Radiohead - Paranoid Android.mp3,161.4990234375,1.0,0.6204753369092941,0.4651833772659302,7,0,0.706258432528502,0.6754788358343794,0.0,0.0,0.5883693735350977,1.0
downloads/Gorillaz - Clint Eastwood.mp3,129.19921875,1.0,0.7762853980064393,0.2849037945270538,10,0,0.4564651197768309,0.6605891108512879,0.0,0.0,0.7081122462950187,1.0
downloads/Marilyn Manson - The Beautiful People.mp3,143.5546875,1.0,0.8330495536327363,0.4505074620246887,8,1,0.3124012568047036,0.7969369847460545,0.0,0.0,0.6661403739819378,0.93795947265625
downloads/The Killers - Everything Will Be Alright.mp3,129.19921875,1.0,0.946851634979248,0.5942320227622986,7,0,0.5886589725851179,0.6476588741264456,0.0,0.0,0.5444660599996034,1.0
downloads/Nirvana - Stay Away.mp3,161.4990234375,1.0,0.8082814946770669,0.4918637573719024,0,1,0.2977900155370135,0.8181918390385075,0.0,0.0,0.5126579987795904,0.9210989746093752
downloads/Death Cab for Cutie - Brothers on a Hotel Bed.mp3,151.99908088235293,1.0,0.724653160572052,0.8480312824249268,3,1,0.8951261251467234,0.638179151109689,-4.930013600982614,0.0868960380554199,0.111738993564823,0.7
downloads/Nickelback - Rockstar.mp3,143.5546875,1.0,0.8136408478021622,0.4531699120998382,0,1,0.739802272667842,0.7941952874543806,0.0,0.0,0.6817780766893768,0.97025927734375
downloads/Soundgarden - Black Hole Sun.mp3,103.359375,1.0,0.4686813652515412,0.5568447113037109,3,0,0.6983913470097721,0.5130115263807608,-1.5344202190208065,0.0,0.5688717461239436,0.975362646484375
downloads/Kaiser Chiefs - Modern Way.mp3,73.828125,1.0,0.8114949777722359,0.7026761770248413,1,0,0.9181830813041908,0.4761575667138242,0.0,0.0,0.3046656555641828,0.8908017578125
downloads/System Of A Down - Chop Suey!.mp3,172.265625,1.0,0.7329856038093566,0.6172133088111877,7,0,0.7847651613536297,0.6671663284719177,0.0,0.0,0.477265877796797,0.8313701171875001
downloads/The Kooks - Ooh La.mp3,151.99908088235293,1.0,0.8336001694202424,0.5168632864952087,10,0,0.8101104468933975,0.674537431223417,0.0,0.0,0.5344056977059172,0.94183544921875
downloads/The Kooks - Sofa Song.mp3,161.4990234375,1.0,0.8165598213672639,0.506636381149292,4,1,0.5636844322162563,0.8124271821013269,0.0,0.0,0.5677469325071105,0.9178689941406252
downloads/The Kinks - You Really Got Me.mp3,135.99917763157896,1.0,0.5949729457497597,0.4572696387767792,3,1,0.404800726443092,0.7427592941723177,0.0,0.0,0.6779388525946812,0.9831145996093752
downloads/Gorillaz - Every Planet We Reach Is Dead.mp3,89.10290948275862,1.0,0.8222672313451768,0.6390156745910645,4,0,0.6387764433442689,0.5444014999679336,0.0,0.1062580823898315,0.4822829085911418,0.8371840820312499
downloads/Nickelback - Far Away.mp3,135.99917763157896,1.0,0.8166840478777886,0.4742591083049774,11,1,0.7774063367117338,0.7954883873997424,0.0,0.0,0.5477996468881059,0.97478125
downloads/The Stranglers - Golden Brown.mp3,123.046875,1.0,0.5746972411870956,0.6396629214286804,1,1,0.764768439862152,0.6805148929582757,-1.8242526073472236,0.0,0.3722090855863464,0.920452978515625
downloads/My Chemical Romance - Teenagers.mp3,112.34714673913044,1.0,0.8222213968634606,0.4469051957130432,4,1,0.8268986199110374,0.7481195405904629,0.0,0.0,0.7107070106255698,0.9605693359375
downloads/The Strokes - Trying Your Luck.mp3,95.703125,1.0,0.6674957692623138,0.6309468746185303,9,0,0.9298320564773151,0.5031048065147996,0.0,0.0,0.3892730610176515,0.88498779296875
downloads/The Offspring - The Kids Aren't Alright.mp3,99.38401442307692,1.0,0.7526639372110366,0.5607840418815613,1,1,0.915290305173823,0.6772537958768517,0.0,0.0,0.4262999488820991,0.86302392578125
downloads/Red Hot Chili Peppers - Under the Bridge.mp3,86.1328125,1.0,0.4535416036844254,0.5632595419883728,4,1,0.8018046718362379,0.6007967929291697,-1.8282390727572109,0.0,0.5495494679203236,0.9363617343902588
downloads/Breaking Benjamin - Breath.mp3,123.046875,1.0,0.8882408916950226,0.5260398387908936,5,0,0.7921347624281326,0.6407238198926068,0.0,0.0,0.5856987064161904,0.93666748046875
downloads/The White Stripes - The Hardest Button to Button.mp3,129.19921875,1.0,0.7796701073646546,0.7489080429077148,9,0,0.7033962654994149,0.5339975423741669,-2.0493867979264695,0.0,0.3085263035559806,0.7
downloads/Kings Of Leon - Crawl.mp3,112.34714673913044,1.0,0.8080918610095978,0.5884363055229187,9,0,0.3996572316904604,0.5848731462767646,0.0,0.0,0.3912029245299054,0.9017190917968751
downloads/Red Hot Chili Peppers - Dani California.mp3,95.703125,1.0,0.8162733525037766,0.4271958470344543,2,0,0.7590427959573602,0.6127598788340887,0.0,0.0,0.7076508492226135,0.96509130859375
downloads/System Of A Down - Psycho.mp3,143.5546875,1.0,0.6209092274308204,0.6147811412811279,0,0,0.4978346987370337,0.5872944052163039,0.0,0.0,0.4008145972320037,0.9527527832031252
downloads/The Strokes - The End Has No End.mp3,135.99917763157896,1.0,0.7777460098266602,0.5168218612670898,1,1,0.6918521856684458,0.7599277543841272,0.0,0.0,0.5539876965158362,0.94829541015625
downloads/The Kinks - Sunny Afternoon.mp3,123.046875,1.0,0.6358281016349793,0.617100715637207,2,0,0.6034184690563686,0.5643766364098192,0.0,0.0,0.4026125418814703,0.95927734375
downloads/Linkin Park - Session.mp3,99.38401442307692,1.0,0.8613608598709107,0.5752155780792236,5,0,0.6001172614802892,0.5749759847973035,0.0,0.0,0.4636790311896318,0.8507499999999999
downloads/The Killers - When You Were Young.mp3,129.19921875,1.0,0.8280006498098373,0.5447679758071899,4,1,0.7701462772582751,0.7452813575098799,0.0,0.0,0.5133382904952688,0.8507499999999999
downloads/System Of A Down - Sad Statue.mp3,172.265625,1.0,0.817351120710373,0.4548733532428741,1,1,0.4909430224457426,0.8589069222652298,0.0,0.0,0.5253896573540523,0.98447119140625
downloads/The Doors - Light My Fire.mp3,129.19921875,1.0,0.6474009945988656,0.5628615617752075,8,1,0.7256475367507562,0.7142585033123728,0.0,0.0,0.5469613850872102,0.8971971191406252
downloads/Franz Ferdinand - Come On Home.mp3,117.45383522727272,1.0,0.6454296782612801,0.4928837120532989,9,0,0.8198152748700024,0.591594775164608,0.0,0.0,0.6355693097317878,0.91470361328125
downloads/Coldplay - Don't Panic.mp3,80.74951171875,1.0,0.8266758739948273,0.6406951546669006,5,1,0.7463627880024005,0.6369439900360276,0.0,0.0,0.373562794135854,0.9088896484375
downloads/Maroon 5 - Wake Up Call.mp3,161.4990234375,1.0,0.8095928698778153,0.43001389503479,4,0,0.5916054757039712,0.7075209696180753,0.0,0.0,0.578080581283084,0.97994921875
downloads/Rise Against - Savior.mp3,89.10290948275862,1.0,0.6658687144517899,0.480164110660553,8,1,0.8519421525740761,0.6761067266699651,0.0,0.0,0.7124103402108402,0.94441943359375
downloads/Chumbawamba - Tubthumping.mp3,151.99908088235293,1.0,0.568926203250885,0.447996586561203,6,0,0.552172324654209,0.6324531297433083,0.0,0.0,0.7158062246146738,0.9146390136718752
